id,className,country,season,category,businessLocation,name,cost,sellingPrice,margin,marginPercent,roi,plannedUnits,assortedUnits,status,lifecycle,ros,storeCount,imageUrl,region,material,fit,color,lastYearSales,lastYearPlan,lastYearMarginPercent,lastYearMarginPlan,lastYearROI,lastYearROIPlan,sellThru,sellThruPlan,suggested,budget
1018,Polos,Canada,SS26,Shirts,NA,Striped Rugby Polo,16,48,32,66.67,3.00,450,430,Under Review,New,2.5,140,https://picsum.photos/400/500?random=18,South,Cotton,Regular,Red,88000,78000,45,42,2.4,2.1,86,85,3,48000
1019,Polos,Canada,SS26,Shirts,NA,Zip Neck Polo,17,52,35,67.31,3.06,380,370,Approved,Carryover,2.3,130,https://picsum.photos/400/500?random=19,North,Cotton,Slim,Green,75000,66000,44,41,2.2,2.0,88,85,1,42000
1020,Polos,Canada,SS26,Shirts,NA,Tipped Collar Polo,15,44,29,65.91,2.93,420,400,Under Review,New,2.6,150,https://picsum.photos/400/500?random=20,East,Cotton,Regular,White,92000,82000,46,43,2.5,2.2,84,85,2,50000
1021,Skirts,Mexico,SS26,Apparel,NA,A-Line Midi Skirt,20,62,42,67.74,3.10,350,350,Approved,New,2.2,110,https://picsum.photos/400/500?random=21,South,Cotton,Regular,Black,70000,62000,45,42,2.3,2.0,87,85,2,40000
1022,Skirts,Mexico,SS26,Apparel,NA,Pleated Mini Skirt,18,54,36,66.67,3.00,400,380,Approved,Carryover,2.5,125,https://picsum.photos/400/500?random=22,North,Polyester,Regular,Navy,82000,74000,47,44,2.5,2.2,89,85,1,44000
1023,Skirts,Mexico,SS26,Apparel,NA,Wrap Maxi Skirt,22,68,46,67.65,3.09,300,280,Under Review,New,1.8,95,https://picsum.photos/400/500?random=23,East,Linen,Regular,Floral,58000,50000,42,39,2.0,1.8,81,85,3,35000
1024,Skirts,Mexico,SS26,Apparel,NA,Denim Mini Skirt,16,48,32,66.67,3.00,450,440,Approved,New,2.8,140,https://picsum.photos/400/500?random=24,South,Denim,Regular,Blue,95000,85000,49,45,2.7,2.4,91,85,1,50000
1025,Skirts,Mexico,SS26,Apparel,NA,Pencil Skirt,24,74,50,67.57,3.08,280,260,Under Review,Carryover,1.6,85,https://picsum.photos/400/500?random=25,North,Wool,Slim,Gray,48000,42000,40,37,1.8,1.6,78,85,2,28000
1026,Casual,USA,SS26,Shirts,NA,Henley T-Shirt,12,36,24,66.67,3.00,550,550,Approved,New,3.2,170,https://picsum.photos/400/500?random=26,North,Cotton,Regular,Gray,115000,100000,50,47,2.9,2.5,92,85,1,58000
1027,Casual,USA,SS26,Shirts,NA,Graphic Tee,10,32,22,68.75,3.20,700,680,Approved,Carryover,3.5,190,https://picsum.photos/400/500?random=27,South,Cotton,Regular,White,140000,125000,52,48,3.1,2.7,93,85,2,72000
1028,Casual,USA,SS26,Shirts,NA,Crew Neck Sweater,28,78,50,64.10,2.79,300,280,Under Review,New,1.6,100,https://picsum.photos/400/500?random=28,East,Wool,Regular,Navy,52000,45000,41,38,1.9,1.7,80,85,3,32000
1029,Casual,USA,SS26,Shirts,NA,Camp Collar Shirt,22,65,43,66.15,2.95,380,370,Approved,New,2.1,120,https://picsum.photos/400/500?random=29,North,Linen,Relaxed,Beige,75000,66000,44,41,2.2,2.0,86,85,1,40000
1030,Casual,USA,SS26,Shirts,NA,Oversized Hoodie,25,72,47,65.28,2.88,420,400,Under Review,New,2.4,135,https://picsum.photos/400/500?random=30,South,Cotton,Relaxed,Black,88000,78000,46,43,2.4,2.1,84,85,2,46000
1031,Jackets,UK,SS26,Outerwear,EMEA,Lightweight Bomber,42,112,70,62.50,2.67,280,280,Approved,New,1.5,96,https://picsum.photos/400/500?random=31,East,Nylon,Regular,Olive,55000,48000,43,40,2.0,1.8,88,85,2,35000
1032,Jackets,UK,SS26,Outerwear,EMEA,Rain Jacket,38,98,60,61.22,2.58,320,300,Approved,Carryover,1.6,108,https://picsum.photos/400/500?random=32,North,Polyester,Regular,Yellow,62000,55000,45,42,2.1,1.9,90,85,1,38000
1033,Jackets,UK,SS26,Outerwear,EMEA,Denim Trucker Jacket,35,92,57,61.96,2.63,250,240,Under Review,New,1.3,85,https://picsum.photos/400/500?random=33,South,Denim,Regular,Blue,45000,40000,40,37,1.8,1.6,82,85,3,28000
1034,Jackets,UK,SS26,Outerwear,EMEA,Linen Blazer,48,138,90,65.22,2.88,200,190,Approved,New,1.1,72,https://picsum.photos/400/500?random=34,East,Linen,Slim,Beige,38000,32000,42,39,1.9,1.7,85,85,1,24000
1035,Jackets,UK,SS26,Outerwear,EMEA,Utility Field Jacket,40,105,65,61.90,2.63,300,280,Under Review,Carryover,1.4,92,https://picsum.photos/400/500?random=35,North,Cotton,Regular,Khaki,52000,46000,41,38,1.8,1.6,80,85,2,30000
1036,Blazers,France,SS26,Outerwear,EMEA,Single Breasted Blazer,55,165,110,66.67,3.00,250,250,Approved,New,1.2,80,https://picsum.photos/400/500?random=36,South,Wool,Slim,Navy,48000,42000,44,41,2.2,2.0,87,85,2,32000
1037,Blazers,France,SS26,Outerwear,EMEA,Double Breasted Blazer,62,188,126,67.02,3.03,200,190,Approved,Carryover,1.0,65,https://picsum.photos/400/500?random=37,East,Wool,Regular,Charcoal,38000,34000,42,39,2.0,1.8,85,85,1,26000
1038,Blazers,France,SS26,Outerwear,EMEA,Linen Sport Coat,50,148,98,66.22,2.96,220,210,Under Review,New,1.1,70,https://picsum.photos/400/500?random=38,North,Linen,Regular,Beige,42000,36000,40,37,1.8,1.6,82,85,3,28000
1039,Blazers,France,SS26,Outerwear,EMEA,Velvet Evening Blazer,75,225,150,66.67,3.00,150,140,Approved,New,0.8,50,https://picsum.photos/400/500?random=39,South,Velvet,Slim,Burgundy,30000,26000,45,42,2.3,2.0,89,85,1,20000
1040,Blazers,France,SS26,Outerwear,EMEA,Cotton Unstructured Blazer,45,132,87,65.91,2.93,280,260,Under Review,Carryover,1.3,85,https://picsum.photos/400/500?random=40,East,Cotton,Relaxed,Olive,55000,48000,43,40,2.1,1.9,83,85,2,34000
1041,Coats,Italy,SS26,Outerwear,EMEA,Wool Overcoat,90,280,190,67.86,3.11,180,180,Approved,New,0.9,60,https://picsum.photos/400/500?random=41,North,Wool,Regular,Navy,42000,36000,44,41,2.2,2.0,86,85,2,28000
1042,Coats,Italy,SS26,Outerwear,EMEA,Trench Coat Classic,78,230,152,66.09,2.95,200,190,Approved,Carryover,0.8,55,https://picsum.photos/400/500?random=42,South,Cotton,Regular,Beige,38000,34000,42,39,2.0,1.8,88,85,1,25000
1043,Coats,Italy,SS26,Outerwear,EMEA,Quilted Car Coat,65,185,120,64.86,2.85,220,210,Under Review,New,1.0,68,https://picsum.photos/400/500?random=43,East,Polyester,Regular,Black,45000,40000,40,37,1.8,1.6,80,85,3,28000
1044,Coats,Italy,SS26,Outerwear,EMEA,Cashmere Topcoat,120,380,260,68.42,3.17,100,95,Approved,New,0.6,35,https://picsum.photos/400/500?random=44,North,Cashmere,Slim,Camel,28000,24000,46,43,2.4,2.1,90,85,1,18000
1045,Coats,Italy,SS26,Outerwear,EMEA,Mac Raincoat,55,158,103,65.19,2.87,250,240,Under Review,Carryover,1.1,75,https://picsum.photos/400/500?random=45,South,Cotton,Regular,Olive,50000,44000,41,38,1.9,1.7,82,85,2,30000
1046,Polos,Mexico,SS26,Shirts,NA,Slim Fit Polo,15,45,30,66.67,3.00,480,470,Approved,New,2.7,155,https://picsum.photos/400/500?random=46,North,Cotton,Slim,Navy,98000,88000,47,44,2.6,2.3,90,85,1,52000
1047,Polos,Mexico,SS26,Shirts,NA,Oversized Polo,16,50,34,68.00,3.13,400,380,Approved,Carryover,2.4,140,https://picsum.photos/400/500?random=47,South,Cotton,Relaxed,Green,82000,72000,45,42,2.3,2.0,87,85,2,44000
1048,Polos,Mexico,SS26,Shirts,NA,Knit Polo,20,60,40,66.67,3.00,350,340,Under Review,New,2.0,120,https://picsum.photos/400/500?random=48,East,Cotton,Regular,Brown,68000,60000,43,40,2.1,1.9,83,85,3,38000
1049,Polos,Mexico,SS26,Shirts,NA,Long Sleeve Polo,18,54,36,66.67,3.00,420,410,Approved,New,2.5,145,https://picsum.photos/400/500?random=49,North,Cotton,Regular,White,90000,80000,46,43,2.5,2.2,89,85,1,48000
1050,Polos,Mexico,SS26,Shirts,NA,Contrast Collar Polo,14,42,28,66.67,3.00,380,360,Under Review,Carryover,2.2,130,https://picsum.photos/400/500?random=50,South,Cotton,Regular,Red,72000,64000,44,41,2.2,2.0,85,85,2,40000
