id,className,country,season,name,cost,sellingPrice,margin,marginPercent,roi,status,lifecycle,ros,storeCount,region,suggested,lastYearSales,lastYearPlan,lastYearMarginPercent,lastYearMarginPlan,lastYearROI,lastYearROIPlan,sellThru,sellThruPlan,material,fit,color,imageUrl
2016,Trousers,USA,SS25,Slim Chino Beige,20,60,40,66.67,3,Approved,New,2.1,200,North,3,8316,6153.84,64.67,4200,1.9,1.8,87,88,Cotton,Slim,Beige,https://picsum.photos/400/500?random=16
2017,Trousers,USA,SS25,Navy Cotton Chino,22,65,43,66.15,2.95,Approved,Carryover,1.9,185,South,3,6992,5453.76,56.23,3885,1.41,1.13,89,88,Cotton,Regular,Navy,https://picsum.photos/400/500?random=17
2018,Trousers,UK,SS25,Linen Wide Leg,22,65,43,66.15,2.95,Approved,New,2.3,95,South,2,6035.2,4405.696,64.17,3895,1.89,2,86,88,Linen,Wide,Beige,https://picsum.photos/400/500?random=18
2019,Trousers,UK,SS25,Wool Dress Pant,25,80,55,68.75,3.2,Under Review,Exit,0.5,50,East,3,2375,2137.5,64.63,1100,2.71,1.27,72,88,Wool,Slim,Black,https://picsum.photos/400/500?random=19
2020,Trousers,France,SS25,Pleated Trouser,26,78,52,66.67,3,Under Review,New,1.6,102,East,2,5644.8,3951.36,51.34,3774,2.92,2.78,81,88,Cotton,Regular,Gray,https://picsum.photos/400/500?random=20
2021,Trousers,France,SS25,Cargo Pants Olive,19,56,37,66.07,2.95,Approved,Carryover,2.4,145,North,1,8265.6,7108.416,58.80,3335,1.45,1.59,90,88,Cotton,Relaxed,Olive,https://picsum.photos/400/500?random=21
2022,Trousers,USA,FW24,Corduroy Pants,24,72,48,66.67,3,Approved,New,1.7,128,South,3,5409.4,4489.802,61.34,4352,2.07,2.41,84,88,Corduroy,Regular,Brown,https://picsum.photos/400/500?random=22
2023,Trousers,USA,FW24,Wool Blend Trouser,28,85,57,67.06,3.04,Under Review,Carryover,1.3,98,East,1,3747.9,2698.488,63.71,2352,1.46,2.19,88,88,Wool,Slim,Charcoal,https://picsum.photos/400/500?random=23
2024,Trousers,UK,FW24,Flannel Trouser,27,82,55,67.07,3.04,Approved,New,1.4,87,North,3,6720,5308.8,65.06,2349,1.19,1.89,85,88,Flannel,Regular,Gray,https://picsum.photos/400/500?random=24
2025,Trousers,UK,FW24,Tweed Pants,30,92,62,67.39,3.07,Under Review,New,1.1,72,East,2,4162.4,2996.928,60.65,2520,1.47,1.5,79,88,Wool,Slim,Brown,https://picsum.photos/400/500?random=25
2026,Trousers,France,FW24,Slim Fit Jeans,23,68,45,66.18,2.96,Approved,Carryover,2.2,156,South,3,7244.6,5868.126,58.90,5460,1.69,1.09,91,88,Denim,Slim,Blue,https://picsum.photos/400/500?random=26
2027,Trousers,USA,SS25,Jogger Pants,18,52,34,65.38,2.89,Under Review,New,2.6,138,North,3,6988.8,5381.376,55.57,3450,2.12,1.89,83,88,Cotton,Relaxed,Black,https://picsum.photos/400/500?random=27
2028,Trousers,France,SS25,Drawstring Linen,21,62,41,66.13,2.95,Approved,New,2.5,112,East,3,10800,9180,46.95,3248,1.64,1.09,87,88,Linen,Relaxed,Beige,https://picsum.photos/400/500?random=28
2029,Trousers,UK,SS25,Cropped Chino,19.5,58,38.5,66.38,2.97,Under Review,Carryover,2,94,South,2,5332,4212.28,51.11,1974,1.17,1.94,82,88,Cotton,Slim,Khaki,https://picsum.photos/400/500?random=29
2030,Trousers,USA,FW24,Thermal Jogger,20,58,38,65.52,2.9,Under Review,Exit,0.7,38,North,2,2812.6,2193.828,57.66,874,1.42,2.09,68,88,Cotton,Relaxed,Gray,https://picsum.photos/400/500?random=30
2031,Jackets,USA,FW24,Denim Jacket Classic,35,90,55,61.11,2.57,Approved,Carryover,1.2,180,North,3,4032,3306.24,53.17,6300,2.38,2.19,86,88,Denim,Regular,Blue,https://picsum.photos/400/500?random=31
2032,Jackets,USA,FW24,Leather Biker,80,250,170,68,3.13,Approved,New,0.8,40,South,1,3802.4,2775.752,64.60,920,1.55,1.04,92,88,Leather,Slim,Black,https://picsum.photos/400/500?random=32
2033,Jackets,UK,FW24,Wool Peacoat,90,280,190,67.86,3.11,Approved,New,0.9,60,North,2,3385.8,2403.918,50.90,2220,2.74,1.98,89,88,Wool,Regular,Navy,https://picsum.photos/400/500?random=33
2034,Jackets,France,FW24,Quilted Bomber,45,120,75,62.5,2.67,Under Review,New,1.1,85,South,2,4464.9,3661.218,56.88,2635,2.64,2.74,84,88,Polyester,Regular,Black,https://picsum.photos/400/500?random=34
2035,Jackets,USA,FW24,Puffer Jacket,55,145,90,62.07,2.64,Approved,Carryover,1.3,125,East,3,3276,2358.72,53.38,3250,2.04,1.64,88,88,Nylon,Relaxed,Navy,https://picsum.photos/400/500?random=35
2036,Jackets,UK,FW24,Trench Coat,75,220,145,65.91,2.93,Under Review,New,0.7,55,East,3,2457,2039.31,56.68,2145,2.56,2.3,78,88,Cotton,Regular,Beige,https://picsum.photos/400/500?random=36
2037,Jackets,France,FW24,Wool Blazer,68,195,127,65.13,2.87,Approved,Carryover,1,78,North,3,2905,2236.85,46.89,2340,2.51,1.21,87,88,Wool,Slim,Charcoal,https://picsum.photos/400/500?random=37
2038,Jackets,USA,SS25,Light Windbreaker,32,85,53,62.35,2.66,Under Review,New,1.8,142,South,2,5756.4,4432.428,51.13,4260,2.44,1.15,85,88,Nylon,Regular,Gray,https://picsum.photos/400/500?random=38
2039,Jackets,UK,SS25,Rain Jacket,38,98,60,61.22,2.58,Approved,New,1.6,108,East,1,5280,3960,52.65,4860,1.77,2.29,90,88,Polyester,Regular,Yellow,https://picsum.photos/400/500?random=39
2040,Jackets,France,SS25,Denim Vest,28,72,44,61.11,2.57,Under Review,Carryover,1.4,92,North,3,5658.8,4866.568,44.00,2300,1.13,1.89,83,88,Denim,Regular,Blue,https://picsum.photos/400/500?random=40
2041,Jackets,USA,FW24,Sherpa Jacket,48,128,80,62.5,2.67,Approved,New,1.2,115,South,2,4695.6,3756.48,61.25,3220,1.99,1.68,86,88,Fleece,Relaxed,Brown,https://picsum.photos/400/500?random=41
2042,Jackets,UK,FW24,Parka Green,72,210,138,65.71,2.92,Under Review,Carryover,0.8,68,East,2,2556.8,1815.328,47.31,1428,2.99,1.59,81,88,Nylon,Regular,Green,https://picsum.photos/400/500?random=42
2043,Jackets,France,FW24,Suede Bomber,85,260,175,67.31,3.06,Approved,New,0.6,48,North,3,1574.4,1243.776,62.60,1440,2.93,1.24,91,88,Suede,Slim,Brown,https://picsum.photos/400/500?random=43
2044,Jackets,USA,FW24,Fleece Jacket,35,88,53,60.23,2.51,Under Review,Exit,0.5,32,South,1,1900,1558,45.77,1312,1.63,2.36,70,88,Fleece,Regular,Navy,https://picsum.photos/400/500?random=44
2045,Jackets,UK,SS25,Utility Jacket,42,112,70,62.5,2.67,Approved,New,1.5,96,East,2,6696,5222.88,60.00,4032,2.58,1.51,88,88,Cotton,Regular,Olive,https://picsum.photos/400/500?random=45
2046,Shirts,USA,SS25,Poplin Dress Shirt,17.5,51,33.5,65.69,2.91,Approved,New,2.4,132,North,2,8064,5967.36,65.03,5148,2.26,2.68,89,88,Cotton,Slim,White,https://picsum.photos/400/500?random=46
2047,Shirts,France,SS25,Silk Blend Shirt,35,95,60,63.16,2.71,Under Review,New,1.2,75,South,1,4752,4181.76,51.79,1875,2.66,1.48,84,88,Silk,Regular,Cream,https://picsum.photos/400/500?random=47
2048,Trousers,USA,SS25,Athletic Fit Chino,21.5,64,42.5,66.41,2.98,Approved,Carryover,2,165,East,2,9114,6470.94,47.15,6930,1.33,2.08,90,88,Cotton,Athletic,Khaki,https://picsum.photos/400/500?random=48
2049,Trousers,UK,FW24,Moleskin Trouser,29,88,59,67.05,3.03,Under Review,New,1.3,82,North,1,5010.2,4058.262,66.38,3034,1.05,3,82,88,Cotton,Slim,Brown,https://picsum.photos/400/500?random=49
2050,Jackets,France,FW24,Down Jacket,95,295,200,67.8,3.11,Approved,New,0.7,52,South,3,2802.8,2438.436,58.99,1508,2.32,1.08,93,88,Nylon,Regular,Black,https://picsum.photos/400/500?random=50
2051,Shirts,UK,FW24,Oxford Button Down,19.5,56,36.5,65.18,2.87,Approved,Carryover,1.9,122,East,1,5893.8,5009.73,62.57,3660,2.88,2.6,88,88,Cotton,Regular,Blue,https://picsum.photos/400/500?random=51
2052,Trousers,France,FW24,Dress Trouser Black,27.5,84,56.5,67.26,3.05,Approved,New,1.5,104,North,1,5719.5,4404.015,62.55,4576,2.51,2.35,87,88,Wool,Slim,Black,https://picsum.photos/400/500?random=52
2053,Jackets,USA,SS25,Hooded Anorak,40,105,65,61.9,2.63,Under Review,New,1.6,118,South,1,4804.8,3747.744,47.04,4248,1.55,2.6,85,88,Polyester,Regular,Navy,https://picsum.photos/400/500?random=53
2054,Shirts,France,FW24,Turtleneck Sweater,32,86,54,62.79,2.69,Approved,Carryover,1.4,98,East,3,5544,3880.8,45.21,3920,2.98,2.69,89,88,Wool,Regular,Black,https://picsum.photos/400/500?random=54
2055,Trousers,USA,FW24,Cargo Jogger,22.5,66,43.5,65.91,2.93,Under Review,New,2.1,148,North,3,5712,4341.12,58.66,5772,1.11,1.72,86,88,Cotton,Relaxed,Olive,https://picsum.photos/400/500?random=55
